Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
EMR,Industrials,14.7238,0.1405,0.127,0.426930147,0.2462,4.887142055,0.853751839,0.532,0.0354,0.0,0.025,1.074
CNP,Utilities,9.0381,0.1014,0.031,0.195863632,0.0457,0.753987468,0.3920545,1.2118,0.1559,0.0,0.0394,2.127
ALXN,Healthcare,31.3308,0.1634,0.019,0.909396785,0.0085,2.807475365,0.296528112,0.3499,0.0516,0.1768,0.0,2.883
COTY,Consumer Defensive,21.7341,0.2284,-0.018,0.616109811,-0.0191,5.591385055,0.415285769,0.8502,0.0475,0.0,0.036,0.903
AWI,Basic Materials,9.4501,0.0914,0.191,0.341946068,0.8226,1.946706587,0.530544525,3.6274,0.0737,0.0,0.003,1.306
ADP,Industrials,21.4417,0.0772,0.141,0.413934887,0.398,16.7918609,0.343063288,0.4228,0.0353,0.0,0.0187,1.046
MNST,Consumer Defensive,19.4473,0.13,0.261,0.602906401,0.275,15.66413222,0.841014948,0.0,0.0186,0.0,0.0,3.001
GTN,Consumer Cyclical,5.2017,0.2282,0.194,0.449879719,0.1776,2.986589532,0.257330169,2.1474,0.0645,0.0,0.0,5.82
CDE,Basic Materials,12.1459,-0.1179,-0.077,0.090239078,-0.0568,0.49283081,0.365491387,0.5382,0.2249,0.0406,0.0,1.845
SJM,Consumer Defensive,12.1522,-0.0048,0.182,0.385491566,0.1696,4.254872477,0.480818498,0.6123,0.0419,0.0,0.0271,1.504
ETN,Industrials,10.2414,0.0591,0.099,0.328474247,0.1332,6.23276608,0.69500193,0.4669,0.0261,0.027,0.0385,1.473
KAR,Consumer Cyclical,5.3407,0.0901,0.087,0.431584253,0.224,5.974009509,0.523105104,1.8217,0.0524,0.0,0.0775,1.263
PXD,Energy,7.9832,0.7259,0.104,0.461603824,0.0808,0.634476717,0.525889516,0.1886,0.4018,0.0121,0.0024,1.419
ADM,Consumer Defensive,7.3954,0.0578,0.028,0.064981893,0.0953,6.46448307,1.575710822,0.4416,0.0131,0.0,0.0327,1.748
DKS,Consumer Cyclical,4.2464,0.0844,0.038,0.289746594,0.1666,5.121485209,2.043434027,0.0336,0.0552,0.0,0.0228,1.408
LRCX,Technology,7.2636,0.3823,0.215,0.466284457,0.3662,12.27304284,0.887617094,0.3717,0.0247,0.1074,0.0149,2.904
NXPI,Technology,6.3932,0.0163,0.235,0.515679813,0.2102,3.861658456,0.436925221,0.7,0.0648,0.1807,0.0063,1.544
