row_id,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,Enterprise_Value_over_EBITDA,split,Sector_label
969,0.2209,0.052,0.204445139,0.2267,2.054350609,0.1544,0.02383936,0.0117,0.0,0.0076,1.305,1.7030249999999998,0.2267,False,False,False,False,False,False,True,False,False,False,8.4788,train,Industrials
827,0.094,0.045,0.210816777,0.2959,1.297469981,2.5104,6.302108160000001,0.0215,0.0,0.0252,1.791,3.207681,0.2959,False,False,False,False,False,False,False,False,False,False,9.9786,train,Basic_Materials
227,-0.0163,0.027,0.157864392,0.0653,1.065999799,0.2656,0.07054336,0.0688,0.0,0.013,1.916,3.671056,0.0653,False,True,False,False,False,False,False,False,False,False,5.4182,train,Consumer_Cyclical
882,-0.1034,0.064,1.0,0.0842,0.58311163,0.3356,0.11262736,0.0202,0.0,0.0777,1.556907098,2.4239597118027816,0.0842,False,False,False,False,True,False,False,False,False,False,5.5427,train,Financial_Services
138,0.1479,0.055,0.155760391,0.1179,0.735504744,0.8178,0.66879684,0.0344,0.0,0.0,2.685,7.209225,0.1179,False,False,False,False,False,False,True,False,False,False,7.9386,train,Industrials
965,0.117,0.154,0.654694837,0.2125,0.465560599,1.4995,2.24850025,0.1998,0.0,0.0091,2.377,5.650128999999999,0.2125,True,False,False,False,False,False,False,False,False,False,11.8606,train,Communication_Services
998,0.1307,0.393,0.894047653,0.3295,0.207589627,1.5886,2.52364996,0.0,0.0,0.0471,1.631,2.660161,0.3295,False,False,False,False,False,False,False,False,False,False,4.0406,train,Basic_Materials
410,0.0585,0.03,0.193807984,0.1656,2.239483729,0.6141,0.3771188099999999,0.0108,0.0,0.007,1.682,2.829124,0.1656,False,False,False,False,False,True,False,False,False,False,11.7383,train,Healthcare
46,0.4117,-0.097,0.301056478,-0.0917,0.608241043,0.3193,0.1019524899999999,0.1786,0.0,0.0135,1.805,3.258025,-0.0,False,False,False,True,False,False,False,False,False,False,5.2031,train,Energy
273,0.0382,0.071,0.357222293,0.1789,0.919609027,1.0715,1.1481122499999998,0.0274,0.0,0.0211,1.13,1.2768999999999997,0.1789,False,True,False,False,False,False,False,False,False,False,9.7845,train,Consumer_Cyclical
23,0.0554,0.05,0.326935688,0.5869,1.944376753,2.8938,8.374078440000002,0.0157,0.0,0.0156,1.056,1.115136,0.5869,False,True,False,False,False,False,False,False,False,False,13.12,train,Consumer_Cyclical
1172,-0.0039,0.283,1.0,0.0964,0.090185464,1.0987,1.20714169,0.0,0.0,0.0,1.044,1.089936,0.0964,False,False,False,False,False,False,False,True,False,False,11.7485,train,Real_Estate
1022,0.2325,0.051,0.294268394,0.1564,1.088713324,1.2033,1.44793089,0.0461,0.0641,0.0026,2.487,6.185169,0.1564,False,False,False,False,False,False,False,False,True,False,15.3711,train,Technology
1007,0.1323,-0.028,0.706952774,-0.0731,0.980750438,0.5618,0.3156192399999999,0.0454,0.0,0.0,1.056,1.115136,-0.0,False,False,True,False,False,False,False,False,False,False,30.1759,train,Consumer_Defensive
623,0.2684,0.005,0.143840857,0.0319,0.888981258,3.1825,10.12830625,0.0431,0.0173,0.0365,1.414,1.999396,0.0319,False,True,False,False,False,False,False,False,False,False,11.7753,train,Consumer_Cyclical
598,0.065,0.17,0.356302357,0.2296,0.518062541,1.2517,1.56675289,0.0454,0.0418,0.0,2.996,8.976016,0.2296,False,False,False,False,False,False,False,False,True,False,10.6932,train,Technology
235,0.0695,0.078,0.372541514,0.1603,1.541725948,0.0,0.0,0.0075,0.0,0.0178,3.129,9.790641,0.1603,False,True,False,False,False,False,False,False,False,False,11.9893,train,Consumer_Cyclical
769,0.0533,-0.006,0.211600101,-0.0198,1.302865857,0.4347,0.1889640899999999,0.0547,0.0,0.0317,1.768,3.125824,-0.0,False,False,False,False,False,False,True,False,False,False,10.1074,train,Industrials
1194,0.1186,0.031,0.923814357,0.0109,0.25689017,0.196,0.038416,0.0416,0.0,0.0,1.481,2.1933610000000003,0.0109,False,True,False,False,False,False,False,False,False,False,5.499,train,Consumer_Cyclical
326,0.0011,0.087,1.0,0.5207,0.621123614,1.9205,3.68832025,0.0128,0.0,0.0328,0.899,0.8082010000000001,0.5207,False,True,False,False,False,False,False,False,False,False,7.5111,train,Consumer_Cyclical
346,0.0862,-0.095,0.469008474,-0.1022,0.470859856,0.9625,0.92640625,0.0804,0.0485,0.0,2.819,7.946760999999999,-0.0,True,False,False,False,False,False,False,False,False,False,17.192,train,Communication_Services
840,0.025,0.03,0.340028554,0.0592,1.387144007,0.1234,0.01522756,0.0288,0.0,0.0,2.784,7.750655999999999,0.0592,False,False,False,False,False,False,False,False,True,False,7.6381,train,Technology
344,0.0872,0.001,0.297583248,0.0018,0.544633884,1.3661,1.86622921,0.0947,0.0,0.0,2.269,5.148361,0.0018,False,False,False,False,False,False,False,False,False,False,7.9225,train,Basic_Materials
757,-0.024,0.092,0.248464198,0.2037,1.636276334,0.0005,2.5e-07,0.0111,0.0,0.0028,2.915,8.497225,0.2037,False,False,False,False,False,False,True,False,False,False,10.2785,train,Industrials
